CustomerID,total_transactions,total_items,total_spend,average_order_value,first_purchase,last_purchase,days_since_last_purchase,customer_lifetime_days,purchase_frequency,customer_value
12346.0,1,74215,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,325,1,1.0,77183.6
12347.0,7,2458,4310.0,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,1,365,0.019178082191780823,82.65753424657535
12348.0,4,2341,1797.24,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,74,282,0.014184397163120567,25.492765957446807
12349.0,1,631,1757.55,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,18,1,1.0,1757.55
12350.0,1,197,334.4,19.670588235294115,2011-02-02 16:01:00,2011-02-02 16:01:00,309,1,1.0,334.4
12352.0,8,536,2506.04,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,35,260,0.03076923076923077,77.10892307692308
12353.0,1,20,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,203,1,1.0,89.0
12354.0,1,530,1079.4,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,231,1,1.0,1079.4
12355.0,1,240,459.4,35.33846153846154,2011-05-09 13:49:00,2011-05-09 13:49:00,213,1,1.0,459.4
12356.0,3,1591,2811.43,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,22,302,0.009933774834437087,27.928112582781456
12357.0,1,2708,6207.67,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,32,1,1.0,6207.67
12358.0,2,248,1168.06,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,1,149,0.013422818791946308,15.678657718120805
12359.0,4,1622,6372.58,25.695887096774193,2011-01-12 12:43:00,2011-10-13 12:47:00,57,274,0.014598540145985401,93.03036496350364
12360.0,3,1165,2662.06,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,51,148,0.02027027027027027,53.96067567567568
12361.0,1,91,189.9,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,286,1,1.0,189.9
12362.0,10,2229,5226.23,19.647481203007516,2011-02-17 10:30:00,2011-12-06 15:40:00,2,292,0.03424657534246575,178.98047945205477
12363.0,2,408,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,109,132,0.015151515151515152,8.363636363636363
12364.0,4,1506,1313.1,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,7,104,0.038461538461538464,50.503846153846155
12365.0,2,174,641.38,29.153636363636362,2011-02-21 13:51:00,2011-02-21 14:04:00,290,1,2.0,1282.76
12367.0,1,173,168.9,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,3,1,1.0,168.9
12370.0,4,2353,3545.69,21.231676646706585,2010-12-14 12:58:00,2011-10-19 14:51:00,50,309,0.012944983818770227,45.89889967637541
12371.0,2,591,1887.96,29.96761904761905,2011-10-11 10:43:00,2011-10-26 10:16:00,44,14,0.14285714285714285,269.7085714285714
12372.0,3,794,1298.04,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,71,224,0.013392857142857142,17.384464285714284
12373.0,1,197,364.6,26.042857142857144,2011-02-01 13:10:00,2011-02-01 13:10:00,310,1,1.0,364.6
12374.0,1,342,742.9300000000001,22.513030303030305,2011-11-14 15:37:00,2011-11-14 15:37:00,24,1,1.0,742.9300000000001
12375.0,2,178,457.5,26.91176470588235,2011-09-02 14:23:00,2011-11-29 10:36:00,10,87,0.022988505747126436,10.517241379310345
12377.0,2,944,1628.12,21.144415584415583,2010-12-20 09:37:00,2011-01-28 15:45:00,314,39,0.05128205128205128,83.49333333333333
12378.0,1,2529,4008.62,18.30420091324201,2011-08-02 10:34:00,2011-08-02 10:34:00,129,1,1.0,4008.62
12379.0,2,407,852.24,21.306,2011-06-22 16:32:00,2011-09-19 10:09:00,81,88,0.022727272727272728,19.36909090909091
12380.0,4,1127,2724.81,26.200096153846154,2011-06-07 09:49:00,2011-11-18 11:27:00,21,164,0.024390243902439025,66.45878048780487
12381.0,5,808,1845.31,21.21045977011494,2011-08-12 09:57:00,2011-12-05 12:44:00,4,115,0.043478260869565216,80.23086956521739
12383.0,5,1532,1850.56,18.69252525252525,2010-12-22 14:28:00,2011-06-08 08:02:00,184,167,0.029940119760479042,55.4059880239521
12384.0,2,126,585.27,21.676666666666666,2011-08-10 11:23:00,2011-11-11 08:39:00,28,92,0.021739130434782608,12.723260869565216
12386.0,2,354,401.9,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,337,29,0.06896551724137931,27.717241379310344
12388.0,6,1462,2780.66,27.8066,2011-01-17 11:12:00,2011-11-24 12:30:00,15,311,0.01929260450160772,53.64617363344052
12390.0,1,353,549.84,17.1825,2011-09-21 09:33:00,2011-09-21 09:33:00,79,1,1.0,549.84
12391.0,1,300,460.89,4.6089,2011-11-18 12:07:00,2011-11-18 12:07:00,21,1,1.0,460.89
12393.0,4,816,1582.6000000000001,24.728125000000002,2011-01-11 09:47:00,2011-09-28 15:41:00,71,260,0.015384615384615385,24.347692307692313
